"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"LINC01204"	4.72954923348189	4.33109958378236	4.5295776197793
"LINC01206"	3.69575078342257	3.48327251944728	3.83486244708267
"LINC01208"	3.86871971334195	3.72843856686313	4.15396152463348
"LINC01209"	4.5368358938085	4.06889427226822	4.11950588021133
"LINC01210"	5.24327399797345	4.96380669609082	5.18571654210199
"LINC01213"	3.31518740268004	3.35486251485335	3.28958785569693
"LINC01215"	4.61845186931053	3.91234310859637	3.65739584813161
"LINC01220"	3.81564979303924	3.90738290634715	3.76724605669347
"LINC01222"	4.87564606805927	4.82602600217432	5.04654977374631
"LINC01224"	5.06321077381023	5.00821087526908	5.26847994684543
"LINC01226"	6.05513650829413	5.85891887494159	6.14006493769832
"LINC01227"	3.53293356924526	3.3310404367825	3.51934774308485
"LINC01231"	6.33331610498295	6.15710959634012	6.51052643687524
"LINC01233"	3.53137683801417	3.73597593205308	4.09911673533319
"LINC01234"	3.30372046618066	3.16671145840159	3.02943569048251
"LINC01237"	6.60298661393445	5.89835219801369	5.23758709038184
"LINC01238"	4.04152865818512	3.99995388706936	4.07391579099728
"LINC01241"	4.01141401168886	3.78101637011941	3.86965664644996
"LINC01242"	2.91844726532956	2.94689601946271	2.8636345269961
"LINC01243"	4.06238039526623	3.70202656479226	4.48787996475586
"LINC01252"	5.1273496996572	4.68592988415506	4.03182090735173
"LINC01254"	3.56216994875336	3.48748488623743	3.72669660029802
"LINC01255"	3.78064189386505	3.80427513206516	3.9138303894578
"LINC01257"	3.23520396698634	3.34056010173842	3.39911857594647
"LINC01267"	4.6077810296837	4.24930197359874	4.73161560451682
"LINC01270"	4.89214416486879	4.20760771868957	4.5240902386973
"LINC01271"	4.17428059328045	3.77702426471389	4.34009450281297
"LINC01278"	4.41920642762926	4.2132214222797	4.63992660060722
"LINC01281"	4.2846631199151	4.36324515837009	4.43509982919045
"LINC01282"	4.70931981607383	4.44788855783869	4.53479279655897
"LINC01287"	5.19036193092862	4.4637364011806	5.00428227994061
"LINC01289"	3.33897896832769	3.73342239566253	3.75332672755864
"LINC01291"	5.15950221476188	4.92823866295832	4.46374412864511
"LINC01293"	3.81684339954132	3.35325373629223	3.79174553261803
"LINC01297"	3.39114405317865	3.49779120596546	3.59285717318996
"LINC01300"	3.27829455737272	3.21596805106831	3.47936959612237
"LINC01304"	5.81732556143397	5.58340762701903	5.93020332581184
"LINC01305"	3.56612408234965	3.03908279235944	3.63413447594324
"LINC01310"	6.60896407180679	6.0704198741341	6.78052185553726
"LINC01315"	5.941702377632	5.25593419490769	6.24987855591308
"LINC01327"	7.25717941083193	6.72616817559004	7.04544635626667
"LINC01333"	3.53772820327147	3.3438016452335	3.57531504431923
"LINC01339"	5.06552717675211	4.82668893098807	4.88802219317267
"LINC01341"	7.01609662475762	6.74000025961259	6.92046978502017
"LINC01342"	5.64115486042054	5.4749218434849	5.75949169618761
"LINC01343"	5.08431443528017	4.98868139308845	5.09785573825033
"LINC01345"	3.80207537747457	3.75660378979868	3.65740143221562
"LINC01346"	4.81392035902557	4.72173422634322	5.16461174617745
"LINC01348"	5.63051512259312	5.8619648393086	6.03111453117932
"LINC01350"	3.56612408234965	3.21100002795714	3.718018224255
"LINC01351"	3.65363588154072	3.63496561418249	3.75748573482925
"LINC01352"	3.26538740340607	3.26639453710846	3.36605574353251
"LINC01354"	3.00192723910437	2.96506897478165	3.44033490143364
