"ID_REF"	"GSM705297"	"GSM705298"	"GSM705299"	"GSM705300"	"GSM705301"	"GSM1209554"	"GSM1209555"	"GSM1209556"	"GSM1209557"
"AC002550.1"	"4.71598689598217"	"4.53474310254624"	"3.84387918742541"	"4.46772581371711"	"4.71519275851035"	"4.31501863760045"	"4.44458097264859"	"4.41652477606962"	"4.59769681791395"
"AC002553.1"	"5.38878047601913"	"5.55587828710837"	"5.45458314233004"	"5.69828244683148"	"5.39848571918294"	"5.63682716001059"	"5.36149359855477"	"5.43320857831223"	"5.57345559850784"
"AC003102.1"	"5.23072843470413"	"5.32181993586572"	"5.25224222848159"	"5.51415689388276"	"5.57830095426964"	"5.31610422733047"	"5.41116410840123"	"5.2188321935663"	"5.53211507339104"
"AC003681.1"	"5.23930116356473"	"5.21794830301219"	"5.27183256924343"	"5.14308699390112"	"5.28941725195516"	"5.09247689402851"	"5.59591099058069"	"5.17347942379725"	"5.10146329711451"
"AC003682.1"	"3.12815509106887"	"2.98843141070807"	"2.82812162906201"	"2.82250784498826"	"2.76227861874513"	"2.86427967683738"	"2.94838544888083"	"2.86427967683738"	"2.94877487622412"
"AC003958.2"	"2.97675929588167"	"2.85488257952786"	"3.0292542024231"	"3.03546471585707"	"3.08759022648349"	"3.09824670639169"	"3.02321764148431"	"3.12188829820476"	"2.85044364239352"
"AC003973.1"	"3.25182335521173"	"3.32718391776538"	"3.27936621824445"	"3.25182335521173"	"2.97711993170786"	"3.41889874926282"	"3.11772992485537"	"3.11960178861608"	"3.30566046259675"
"AC003986.1"	"4.65235098374394"	"4.93072952738923"	"4.9673138736223"	"4.76472166710974"	"4.56806163356076"	"4.80800987032891"	"4.64356353287499"	"5.00308173583961"	"4.72730588359126"
"AC003991.1"	"3.98932410891943"	"4.26572132422041"	"4.21351949017859"	"4.35664278170131"	"3.66919468553072"	"4.45635655748783"	"3.95910936573748"	"3.9337722808532"	"4.0370848201107"
"AC004009.2"	"3.32176056010584"	"3.18565671444493"	"3.43310563074894"	"3.57641378631347"	"3.11359159044156"	"3.37781660930819"	"3.26689748295713"	"3.35898751334091"	"3.31152695884752"
"AC004009.3"	"2.96807244781725"	"3.06660576192792"	"2.79911557408904"	"2.81992980671411"	"2.98125708392512"	"2.69833304440374"	"3.01739302890835"	"2.9676307016599"	"3.06498800921178"
"AC004023.1"	"3.15806161778058"	"3.35379792634763"	"3.33489358449852"	"3.15788894859109"	"2.90591344930046"	"3.23094138966327"	"3.30499879666738"	"3.07555645588711"	"3.12358899281409"
"AC004039.1"	"3.76213647877943"	"3.92891767258923"	"3.53000344591324"	"3.9293273757214"	"3.60845317513624"	"3.75573532511067"	"3.59570311434489"	"4.11571241804159"	"3.49972554331641"
"AC004069.1"	"10.5549118327987"	"10.5015045201593"	"10.6262704881403"	"10.6448816027338"	"10.4569498592118"	"10.6409275878349"	"10.6271600004177"	"10.4291305396233"	"10.5528425648563"
"AC004076.2"	"4.22632034644385"	"4.38878389128709"	"4.32834691230236"	"4.390092119987"	"4.46981575298788"	"4.49801932605307"	"4.21439765780492"	"4.31019065502966"	"4.49587245176004"
"AC004080.1"	"5.0908789226924"	"5.14129803623198"	"4.89845800263941"	"5.11419934831926"	"4.95614097517223"	"4.43661877930549"	"4.88086593970329"	"5.6972226424404"	"5.04140338527883"
"AC004080.2"	"5.45251597527073"	"5.38057943226732"	"5.53266623671151"	"5.37516063074009"	"5.32199279465845"	"5.48671345643268"	"5.25929865617105"	"5.61742916822551"	"5.38399373281388"
"AC004080.6"	"5.13678669993343"	"4.98516060116451"	"5.18226251253323"	"4.91272934409274"	"5.14738984131972"	"5.31558502150157"	"4.98015137947595"	"5.1729758964241"	"4.94222704333249"
"AC004130.2"	"5.26847640714703"	"5.53868915624046"	"5.50687956697479"	"5.57480832689196"	"5.22929151169263"	"5.11521314294218"	"5.32893134168632"	"5.84940973212343"	"5.39956471815013"
"AC004148.1"	"7.66574199790244"	"6.78873153534527"	"7.24284375857566"	"7.5350233864403"	"7.87621788988258"	"7.02645335629625"	"7.96723044335416"	"7.09274077879293"	"7.30024226341532"
"AC004156.1"	"5.97180245176778"	"6.97856906093115"	"6.35375540054048"	"6.19988919668"	"5.64503996169721"	"6.7355012573631"	"6.41701024836322"	"5.62956585044954"	"5.9084000554114"
