"ID_REF"	"GSM349848"	"GSM349849"	"GSM674836"	"GSM674837"	"GSM674839"	"GSM674840"	"GSM674842"	"GSM674843"	"GSM674845"	"GSM674846"
"AC004771.3"	"8.28591110371242"	"8.64145699628405"	"8.45485642431583"	"8.40062617634577"	"8.27236455783377"	"8.88604059540378"	"8.3028592295599"	"8.58559106362462"	"8.34746105288165"	"8.99247903360696"
"AC004784.1"	"4.33020727532344"	"4.71345735574354"	"4.71824632086061"	"4.74799966741774"	"4.59519162402734"	"4.74400453812574"	"4.38262942995414"	"4.39008948898018"	"4.50339393775508"	"4.44874468522376"
"AC004801.3"	"3.69351967347791"	"3.07150020410258"	"3.57665880270061"	"3.29476644561892"	"3.36198379051846"	"3.50539894907013"	"3.25416573481925"	"3.0332680901832"	"3.41055886044947"	"3.30771748033244"
"AC004803.1"	"4.30492096642811"	"4.20749551182576"	"4.36511084389688"	"4.30177048664227"	"4.30743349639606"	"4.07262728856824"	"4.3090770995712"	"4.30626221259814"	"4.22863189316401"	"4.27579171752354"
"AC004812.2"	"5.38677271422622"	"5.39783800087973"	"5.55882035806326"	"5.5145195716333"	"5.38048413378335"	"5.13945981403029"	"5.43489982091149"	"5.23518939244589"	"5.33081834364495"	"5.46158582486966"
"AC004816.1"	"3.97182798945902"	"3.94585422045947"	"3.92669796144007"	"4.17094438281493"	"3.98880247414238"	"4.08833376163414"	"3.84885065408975"	"3.81654610951249"	"4.02381251578376"	"4.05802119571498"
"AC004817.1"	"3.53645379932949"	"3.60423956396085"	"3.61817964616548"	"3.66014411791735"	"3.56166008761142"	"3.70069405902616"	"3.25278220745573"	"3.59274994124417"	"3.59073391813917"	"3.62156620867254"
"AC004817.2"	"4.60444892711662"	"5.03586106145426"	"4.86728769397371"	"4.75533075070534"	"4.79870092490189"	"4.96698090245237"	"4.77595803970769"	"4.5687956865138"	"4.84592939643683"	"4.66907768923801"
"AC004825.2"	"5.48078624885942"	"6.15310788816893"	"5.56851958407811"	"5.61041656518683"	"5.81688570161834"	"6.43087915882419"	"5.4543132038492"	"5.67944808621699"	"5.55866575543482"	"6.17588087723637"
"AC004830.2"	"3.18453850201677"	"3.23402544004006"	"3.11737777840178"	"3.21293821688301"	"3.27616650242002"	"3.39782061430211"	"3.26763803456357"	"2.9433895059562"	"3.18569855612313"	"3.21579711014719"
"AC004832.1"	"4.58384082225557"	"4.76164455306074"	"4.75823574921429"	"4.75118646015599"	"4.73161020948099"	"4.81076805394923"	"4.65909158409401"	"4.69440732839127"	"4.8509146948084"	"4.71494266674398"
"AC004835.1"	"5.72322436971168"	"6.08449415431626"	"6.18468378900208"	"5.85760507116996"	"6.14418846798973"	"5.72359083299943"	"6.05661639788208"	"5.98504323224583"	"6.01490153138638"	"5.64329120661548"
"AC004836.1"	"2.80371639689378"	"3.11044049195975"	"3.68478419239212"	"2.7369268595044"	"2.81652821996386"	"2.88847229526182"	"3.04935191399263"	"2.57211378864689"	"2.87621122686427"	"2.85216109858804"
"AC004839.2"	"4.68653818567165"	"4.79635989759294"	"4.99531240943721"	"4.84513730334873"	"4.76698767467786"	"4.85164382135898"	"4.66340912897261"	"4.58908812864195"	"4.60183579238895"	"4.67153345216084"
"AC004846.1"	"4.92792552554069"	"4.70547820158077"	"5.08885663908106"	"4.99593276342859"	"4.85800834323145"	"4.79288952627235"	"4.73551266070092"	"4.78364907124403"	"4.80817127168229"	"4.98727382082006"
"AC004846.2"	"4.86216686724018"	"5.02135810805516"	"5.1960369645977"	"5.1859288199455"	"4.78149948668327"	"5.00247570855114"	"4.80329568083053"	"4.55548545835158"	"4.96512478650852"	"4.92830189549414"
"AC004847.1"	"6.12816983744155"	"6.2301805848481"	"4.08356015596092"	"7.0711473964047"	"4.47987087610206"	"7.43133520077664"	"4.70302134841066"	"7.23637134213862"	"4.48215918969306"	"7.10058946540019"
"AC004852.2"	"3.34179162562647"	"3.40388579790527"	"3.24916081826726"	"3.35714196315477"	"3.2626950917307"	"3.03654907194916"	"3.48277009145008"	"3.40703240176482"	"3.48420285205424"	"3.68124334868765"
"AC004882.3"	"9.54745004359318"	"9.77648384312589"	"9.32312189008594"	"9.15164008705401"	"9.50927022342634"	"10.092005378722"	"9.26268107904815"	"9.91973040470168"	"9.08412641922549"	"9.58716274860217"
"AC004900.1"	"7.79879882980687"	"7.68937228695795"	"7.5604565075494"	"7.53380703016966"	"7.98963513153448"	"8.11849643977495"	"7.57741160813007"	"7.25389475710403"	"7.82804920967212"	"7.74448058107638"
"AC004908.1"	"4.12049624667798"	"3.87062711234262"	"4.21019634840004"	"4.1168861763969"	"3.88244309223977"	"4.24233814587277"	"3.95834539579725"	"3.79731604896994"	"3.85762172802625"	"3.95011682018048"
"AC004917.1"	"4.50533479165776"	"4.66766367345137"	"4.68183772340518"	"4.56584140474048"	"4.55639303681046"	"4.60433263492133"	"4.64144986185902"	"4.54696644001555"	"4.64772203659006"	"4.63202326506412"
"AC004918.1"	"6.27908665818199"	"6.93076191760733"	"7.34736468846021"	"6.0883956805431"	"7.21947904331951"	"5.48384138726983"	"7.18049990865687"	"5.76593910292896"	"6.94581938477341"	"6.85198043796695"
"AC004918.3"	"5.81522197084244"	"6.03898613364415"	"5.81343785039972"	"6.17205300239833"	"5.52531755416036"	"5.98019109978393"	"5.63101410320539"	"5.94964587574631"	"5.80184747854088"	"6.46277365841"
"AC004938.2"	"4.36535069228509"	"4.23835741829014"	"4.26454755836662"	"4.40812506182045"	"4.18930582144427"	"4.75279713493673"	"4.09012941926801"	"4.48637838747276"	"3.89241938686151"	"4.29169715998264"
"AC004943.2"	"4.58896989295416"	"4.6357158650478"	"4.35365595123932"	"4.797571965784"	"4.25883146160233"	"4.76598682309782"	"4.38233313272376"	"4.91799796325964"	"4.19178669416242"	"4.86017162940412"
"AC004944.1"	"3.59077206749684"	"3.58573288552145"	"3.61490430775425"	"3.70947510840396"	"3.54425934693609"	"3.38434423118124"	"3.66926002398622"	"3.66921745647575"	"3.66513520730481"	"3.73270960630065"
"AC004947.1"	"3.71560555166189"	"3.36262082253063"	"3.58242257492215"	"3.40331841372676"	"3.54345758918265"	"3.79154166886557"	"3.43935590321878"	"3.43371917023233"	"3.56717894501155"	"3.44327116666895"
"AC004948.1"	"3.08117795380599"	"2.80729647431625"	"3.16931823821839"	"2.65923840623799"	"3.44117573525782"	"2.81137685570631"	"3.17770454254601"	"2.40616116391109"	"3.08241160321658"	"2.77269306668831"
"AC004951.1"	"8.33184362802541"	"7.64547710367043"	"8.3375465507211"	"7.79181944093257"	"8.44530870870992"	"7.75507900003595"	"8.48776321649581"	"7.95319451650926"	"8.01146791052836"	"7.81562051873462"
"AC004967.2"	"7.10790781441836"	"7.42994864693762"	"7.3624918202641"	"7.08426766678178"	"7.42159147923391"	"7.22520886769748"	"7.22757073930497"	"6.68202540785539"	"7.63057735165439"	"7.5791210959173"
"AC004972.1"	"2.71333319048927"	"2.89703626278204"	"2.78015154287565"	"2.77849328231944"	"2.61272951761921"	"2.83545215172762"	"2.97042178262954"	"2.75393083161423"	"2.7521803861265"	"2.97932483200389"
"AC004982.1"	"3.43413602274959"	"3.488857099653"	"3.42479829401206"	"3.72374368009839"	"3.48963482629803"	"3.50490298758117"	"3.58828716278667"	"3.41504958277145"	"3.37561442692366"	"3.59681292106617"
"AC005005.3"	"5.12060419100604"	"5.01828283447892"	"5.0859882910475"	"5.27493225671107"	"5.14222972785868"	"5.30506341084649"	"4.95065149792876"	"4.94860610548172"	"4.97976183755035"	"5.07440494705048"
"AC005009.1"	"2.74629932041508"	"2.79250387798876"	"2.92702064995268"	"2.98269911493856"	"2.75600151600124"	"2.79153688136954"	"2.72856735464604"	"2.77256312375044"	"2.64703023460278"	"2.76784860562521"
"AC005014.2"	"4.13027663132271"	"4.07594589320484"	"4.00867249484209"	"4.05617507344784"	"4.10670933284001"	"3.85561824121701"	"4.42928526911879"	"4.09712758194532"	"4.21015922426016"	"4.13230780896975"
"AC005034.5"	"6.52344495778685"	"6.76261639547088"	"6.61353028453104"	"6.40014710655193"	"6.2255977141425"	"6.28992113723711"	"6.79018703028286"	"6.64015609918256"	"6.62416121405029"	"6.68904885317343"
"AC005037.1"	"6.23568389018107"	"6.57099620639832"	"5.0354781288696"	"5.99386690753212"	"6.43951676878282"	"6.32199209372235"	"6.52546736604105"	"7.51141059659945"	"5.80294120681438"	"6.24023109579736"
"AC005041.4"	"3.99063839533506"	"3.99184540413737"	"3.95108594794393"	"4.207198212712"	"3.93476044840782"	"4.06328787678042"	"4.01211266821471"	"3.91935355554091"	"3.8686122776124"	"3.93681818980205"
"AC005041.5"	"9.01112566720424"	"9.6283420230626"	"8.82860569546759"	"9.09398824439639"	"9.1404489964281"	"9.91526390689731"	"8.89916742506878"	"9.26939186881788"	"8.99096792496584"	"9.64167868430807"
"AC005062.1"	"6.33401714243929"	"6.39449188965284"	"6.57881107174217"	"6.08449949989154"	"6.48527148374228"	"6.38369572970522"	"6.34371717516673"	"6.24243493831636"	"6.30972353140757"	"6.16295513420189"
"AC005064.1"	"2.56365229546885"	"2.65005654340834"	"2.69294423676105"	"2.70918357934459"	"2.53647185405276"	"2.62939827087611"	"2.61719580468823"	"2.55176417733886"	"2.54126424274239"	"2.67461958918289"
"AC005072.1"	"5.09714911683772"	"4.9631125284511"	"5.23940890952901"	"4.69964359797582"	"5.40707396566652"	"4.53525079700243"	"5.79388135515852"	"4.81479845469985"	"5.52154707759564"	"4.88777575340228"
"AC005076.1"	"6.23998009802329"	"6.51002702096322"	"6.00210747751743"	"6.42154640578964"	"6.24937896514322"	"7.00637594606775"	"5.9038529772931"	"6.77870905931679"	"5.99329621933083"	"6.67068246702072"
"AC005082.2"	"6.92794579419197"	"6.77170806054058"	"6.46904717625461"	"7.07391459570147"	"6.56266367530801"	"7.04690396559157"	"6.57913027361481"	"6.78987409455217"	"6.51265898523625"	"7.13030522416711"
