"ID_REF"	"GSM573357"	"GSM573358"	"GSM573359"	"GSM158184"	"GSM158186"	"GSM158187"
"AC073389.1"	"3.95069570633053"	"4.08215787910823"	"4.50974433451146"	"4.45980595727113"	"3.93239078450622"	"4.110138772737"
"AC073439.1"	"4.74143298261515"	"4.7416285896041"	"4.88584090743356"	"4.8435766577867"	"4.8282917876149"	"4.70048331911608"
"AC073476.2"	"4.67904333316704"	"4.83140133022823"	"4.81597113644609"	"4.81334321411416"	"4.89854267367243"	"4.63437252496486"
"AC073508.3"	"3.66784658540096"	"3.84674683142584"	"3.75423136544452"	"3.79790434569806"	"3.63125382563716"	"3.83783644288535"
"AC073539.1"	"3.80104371279337"	"3.83530081520885"	"3.73775444084346"	"3.75338720721165"	"3.79028285559697"	"3.85316124691129"
"AC073548.1"	"6.65099371344642"	"6.8297034463451"	"6.71503877657994"	"6.77627314639137"	"6.74156910523451"	"6.64916893504074"
"AC073548.2"	"6.05748113412832"	"5.63989996393144"	"6.19903909060066"	"6.12636328689534"	"5.75643304931796"	"5.95845166940876"
"AC073569.2"	"5.29054005986301"	"5.54621991234931"	"5.7379255694278"	"5.51320963071483"	"5.72321055385446"	"5.3047709827244"
"AC073592.8"	"4.09602628672057"	"3.84923850068527"	"3.7159442931715"	"3.95560418300639"	"3.78089551754453"	"3.91390795728054"
"AC073593.1"	"4.34389141871734"	"4.34389141871734"	"4.16131219732251"	"4.48542136107617"	"4.21599731706359"	"4.14053454482655"
"AC073611.1"	"8.79636378178163"	"8.70983547951336"	"8.7527832468766"	"8.93092044994626"	"8.57413102887086"	"8.72262204244108"
"AC073641.1"	"5.81491527589969"	"5.77734610704453"	"5.8678669326079"	"5.59908777916398"	"5.8744684736997"	"5.9629380618543"
"AC073857.1"	"4.33995834933485"	"4.01862400776543"	"4.20290468229265"	"4.03830103478412"	"4.13705331596239"	"4.38032895079401"
"AC073864.1"	"3.28460798163077"	"3.36706011216935"	"3.17604698909851"	"3.36597043666544"	"2.95287956515099"	"3.47884697606871"
"AC073869.1"	"8.76434822558669"	"8.57709725209528"	"8.65126899434172"	"8.47704087947139"	"8.78857325651941"	"8.70977589080834"
"AC073896.2"	"6.19124966786176"	"6.37439767642106"	"6.27614122479353"	"6.41837987582688"	"6.17848015520088"	"6.2353939000516"
"AC073896.4"	"6.24272315462528"	"6.36454596385475"	"6.15579324705485"	"6.29035284951285"	"6.23287496002055"	"6.24237427297558"
"AC073957.2"	"5.93908393495364"	"5.7610736138936"	"5.80460432640881"	"5.61396940446951"	"5.8009934185605"	"6.05542958122089"
"AC073957.3"	"4.55057808598966"	"4.6297084341753"	"4.68885196972392"	"4.56172302244708"	"4.71780828475444"	"4.60191265939367"
"AC074008.1"	"2.71136565862049"	"2.67983474186688"	"2.69410935774983"	"2.76032013228533"	"2.62688328073491"	"2.71048495530362"
"AC074032.1"	"7.33588530406468"	"7.27946594871056"	"7.2056215288649"	"7.21381075665719"	"7.30428563118493"	"7.30305679335856"
"AC074035.1"	"2.71264312766402"	"2.71499544198288"	"2.78159199626115"	"2.80687932405948"	"2.72735402238179"	"2.68234685094744"
"AC074050.3"	"4.98070373287843"	"5.18354250864354"	"5.29477360694753"	"5.23063239724735"	"5.16230139231364"	"5.06232805055628"
"AC074212.1"	"4.68462773276496"	"4.70304850141497"	"4.40862036382723"	"4.68144975239127"	"4.57226237160674"	"4.53327404887221"
"AC074387.1"	"4.35189174342975"	"4.24283928946785"	"4.15788596338213"	"4.60057797351348"	"4.03888584651622"	"4.07217813073094"
"AC076966.2"	"2.40553116092647"	"2.27202064258506"	"2.333743308911"	"2.45322296148707"	"2.22646205400077"	"2.32728930085973"
"AC077690.1"	"3.09667962544823"	"2.7590902695553"	"2.96504835321226"	"2.8520159045063"	"2.7515388574773"	"3.19122342050199"
"AC078795.1"	"2.87544564213111"	"3.0291440731931"	"2.82580211700851"	"2.85116548367137"	"3.07904606761849"	"2.79134677890315"
"AC078795.2"	"2.29512971819522"	"2.2776748496409"	"2.27652708032162"	"2.21255447217474"	"2.19320665070534"	"2.43610111169563"
"AC078795.3"	"3.12931611514826"	"2.69842769833458"	"2.66550470290161"	"2.73722367757673"	"2.69369751189654"	"3.02867213164065"
"AC078814.1"	"3.34185643698139"	"3.55467046859625"	"3.3490615512271"	"3.31827494920226"	"3.50774407626257"	"3.42320400871366"
"AC078816.1"	"2.3963721154597"	"2.3963721154597"	"2.47476876611928"	"2.34822472879773"	"2.42254795328799"	"2.50153697555387"
"AC078842.2"	"3.4295957410801"	"3.52461752275417"	"3.25742103313054"	"3.31993365288936"	"3.49981825218426"	"3.39427005634449"
"AC078846.1"	"4.28972041818069"	"4.2955359785594"	"4.03635003436351"	"4.36233970634717"	"4.08941209835296"	"4.16118985857701"
"AC078860.3"	"3.03275619340669"	"2.8487829194443"	"2.98818770248395"	"2.95206105355351"	"3.0237674033094"	"2.89808645471919"
"AC078880.2"	"2.99445279144403"	"2.91351607257416"	"2.8657709385153"	"3.13075794399071"	"2.77907669619832"	"2.85366854416566"
"AC078881.1"	"2.54356574518043"	"2.35686348997847"	"2.36366654256311"	"2.45628509050984"	"2.32282669039998"	"2.48036182927292"
"AC078925.3"	"4.74738631759756"	"4.55938973192089"	"4.6717350055372"	"4.72138396827307"	"4.67625754876888"	"4.58377371055418"
"AC078925.4"	"3.81574305604324"	"3.74116106913059"	"3.36700168560754"	"3.79043593924318"	"3.33924774937031"	"3.75821505723233"
"AC078980.1"	"2.23485478181563"	"2.34910086676913"	"2.18014133292471"	"2.31941803668809"	"2.20731400192216"	"2.23873392794553"
"AC079035.1"	"2.93151108631484"	"3.08265019023362"	"2.72283057741218"	"2.97438103481952"	"2.83817083881963"	"2.91483741499216"
"AC079089.1"	"3.68291044489832"	"3.41653234219718"	"3.70121555905568"	"3.75957746567958"	"3.44876140515006"	"3.58822743637866"
"AC079140.6"	"3.70200571591459"	"3.53546178146782"	"3.67570490755626"	"3.72972997936885"	"3.51752343814204"	"3.67202960926546"
"AC079142.1"	"3.68037413175998"	"3.56651212155748"	"3.61709796824528"	"3.63773643520524"	"3.53096171540361"	"3.70743259871171"
"AC079145.1"	"4.00414589516818"	"4.19246032712958"	"4.1862444183715"	"4.18760126145307"	"4.01287556921133"	"4.18866028392422"
"AC079148.1"	"1.98968381632839"	"2.00769115513162"	"2.00849457599239"	"1.96771063351239"	"1.96752669368292"	"2.07453757924122"
"AC079160.1"	"3.63653160623794"	"3.17118314063653"	"3.13816588560817"	"3.38141713872516"	"3.25391258032554"	"3.28109403575841"
"AC079171.1"	"3.53190634635935"	"3.35784932007188"	"3.44184256512417"	"3.42569760411412"	"3.19026677048437"	"3.69286769265721"
"AC079174.2"	"2.98308623306648"	"2.90708527967496"	"3.04765532476058"	"3.00398921110881"	"2.92648011221941"	"3.0144336346873"
"AC079228.1"	"8.39644933288898"	"8.55380445627097"	"8.43231733539744"	"8.55775512278559"	"8.39482354920581"	"8.41716958944228"
"AC079248.2"	"2.60533243964691"	"2.59219775647596"	"2.71176129770998"	"2.7454956167008"	"2.54350961591621"	"2.62109601805911"
"AC079305.1"	"4.68433066889972"	"4.66299040048271"	"4.44031063431443"	"4.49878451406053"	"4.71973751991849"	"4.56064275799945"
"AC079316.2"	"2.75090818799172"	"2.87016422031254"	"2.92612976476417"	"2.93383600558679"	"2.82360653823312"	"2.79438805303627"
"AC079322.1"	"2.39247228157733"	"2.5859419372231"	"2.7165779619471"	"2.70835834549307"	"2.55488886870354"	"2.4135046328255"
"AC079328.2"	"9.18537561458367"	"9.14243044399753"	"9.30625954154009"	"9.26817359200755"	"8.89559614267895"	"9.45200781791035"
"AC079331.1"	"5.2125528945993"	"4.88173191477146"	"4.7054794640022"	"4.93182969911197"	"5.0299029741836"	"4.81751451374847"
"AC079336.2"	"3.23544445021185"	"3.50470324157345"	"3.03907619275196"	"3.10410044717037"	"3.34848759131031"	"3.30151949179657"
"AC079385.2"	"3.17132708088656"	"3.28420032856655"	"3.17025121642924"	"3.24561611765704"	"3.20355050631252"	"3.1924195137933"
"AC079416.3"	"4.63623086941802"	"4.48721174247165"	"4.38441162194959"	"4.42348676939337"	"4.56911178820839"	"4.51928797179262"
"AC079465.1"	"3.37623420161838"	"3.40575252080657"	"3.29873297858154"	"3.3969355980063"	"3.22774443370315"	"3.45445339390128"
"AC079601.1"	"4.26791428201884"	"4.65902286965965"	"4.47111522140911"	"4.56608383675831"	"4.50040513430057"	"4.32501507519775"
"AC079742.1"	"4.42338587264345"	"4.47429593275169"	"4.34459653877951"	"4.62889538289666"	"4.28557230569822"	"4.32154721053969"
"AC079781.5"	"4.67982633013"	"4.40749907846825"	"4.82410798648915"	"4.57510410748219"	"4.42554014063796"	"4.87011532332281"
"AC079807.1"	"2.98555491781587"	"2.91792468501473"	"2.84179145268384"	"3.03283315910293"	"2.94155603725382"	"2.76842534547285"
"AC079834.1"	"3.22157364631548"	"3.14816807952346"	"3.38857564490619"	"3.44772147446802"	"3.14297153320057"	"3.15056895308087"
"AC079922.2"	"4.73082073835058"	"4.36037502923173"	"4.66134803446614"	"4.67582543513397"	"4.55119262582291"	"4.52097701482267"
"AC080013.1"	"3.50329640161841"	"3.40772253710432"	"3.46032856220653"	"3.51853962620117"	"3.34377764268988"	"3.51948214104791"
"AC080038.1"	"3.68847257080209"	"4.0102815416201"	"4.03244540007219"	"3.92765416812395"	"3.9833777584556"	"3.81251062568575"
"AC080080.1"	"4.11064471644208"	"3.816320817431"	"3.80412340675911"	"3.95556769201129"	"3.87650428030865"	"3.89925706012166"
"AC080112.1"	"4.31530243157624"	"4.08417316107867"	"4.3229621093874"	"4.2811834633774"	"4.25411085752208"	"4.18719968348946"
"AC080129.2"	"3.22234350880954"	"3.10882974389535"	"3.23380547417645"	"3.29226288398736"	"3.20507049884959"	"3.0748528604483"
"AC080188.2"	"3.38171685883495"	"3.55738796075901"	"3.11577385058656"	"3.473040086225"	"3.3769841356345"	"3.17790257704926"
"AC082651.1"	"5.97281215536637"	"5.84326371034337"	"5.75668126329282"	"5.95971979500399"	"5.84616036091983"	"5.77831283908387"
"AC082651.3"	"2.79998646153098"	"2.80435327300709"	"3.04959302879826"	"2.99926010921638"	"2.71549444713077"	"2.92588286885047"
"AC083799.1"	"7.59058276930744"	"7.6285764297564"	"7.67996200853629"	"7.35653523192332"	"7.62322737394826"	"7.88427746094102"
"AC083801.2"	"3.64923654396739"	"3.29774104242168"	"3.25184317498439"	"3.37574070083142"	"3.37574070083142"	"3.43129228202187"
"AC083805.1"	"4.4210549731646"	"4.3795077340465"	"4.28357306071229"	"4.36042648351082"	"4.24331314631162"	"4.49509411746588"
"AC083805.3"	"4.93564861031443"	"4.94086946254702"	"4.8794155847503"	"5.01391344024866"	"4.92646026518477"	"4.8240277537573"
"AC083841.2"	"4.14140991999063"	"4.25441049376864"	"4.35520422752029"	"4.51354662860452"	"3.96994291185558"	"4.23975433363683"
"AC083843.2"	"4.06027214058939"	"4.18936669498771"	"4.04330680602761"	"4.16661576890951"	"3.95742758836154"	"4.16696235675857"
"AC083862.1"	"5.00778185360721"	"4.90741676863792"	"5.04644088566598"	"5.25629045194599"	"4.84744642144742"	"4.83473410624809"
"AC083864.3"	"2.63339787133054"	"2.37197014939401"	"2.30892611416098"	"2.57822368167267"	"2.40450125525693"	"2.313808385592"
"AC083973.1"	"6.19121721801956"	"5.82900267869789"	"5.72807477444955"	"6.03752540384137"	"5.8486059847488"	"5.83517029428943"
"AC084018.2"	"2.4981570866664"	"2.54648990340892"	"2.60826899488328"	"2.55694388515886"	"2.57217806029809"	"2.53334298897095"
"AC084024.3"	"9.00159092465895"	"9.16769712394443"	"9.07675466238032"	"8.96146609608065"	"9.23455771397261"	"9.03800841012488"
"AC084036.1"	"4.38028345146681"	"4.59393297138117"	"4.25678644858037"	"4.38634622215534"	"4.54042543824901"	"4.29863432269227"
"AC084125.1"	"5.66508338909868"	"5.76543552672947"	"5.90899125470206"	"6.0441122042253"	"5.54897773541978"	"5.71695460252178"
"AC084198.1"	"7.18117759427161"	"7.13866030922431"	"7.4112841608278"	"6.99736055704313"	"7.6480189182423"	"7.0266798013103"
"AC084262.1"	"3.13461008530392"	"2.66980578781573"	"2.88716348207396"	"2.9358916564579"	"2.86711089237178"	"2.86715773308039"
"AC084375.1"	"3.50723294110452"	"3.65673840522557"	"3.4766423048338"	"3.67738649110028"	"3.55527939061837"	"3.40730383841388"
"AC084398.2"	"6.76236653346796"	"6.78602659155941"	"6.84179545283753"	"6.80460787397123"	"6.7446269087006"	"6.84857709688447"
"AC084756.1"	"5.65489391781812"	"5.73633858804452"	"5.2810422230172"	"5.23688855858729"	"5.7916106017286"	"5.59866241601608"
"AC084757.3"	"2.5619593447096"	"2.85186374375954"	"2.74898699187343"	"2.69534827574054"	"2.68676389567248"	"2.77460954191133"
"AC084757.4"	"3.10551992740971"	"3.23163500615536"	"3.08071149920979"	"3.09457685982834"	"3.17767088060109"	"3.15697938310792"
"AC084781.1"	"5.05987807805562"	"5.2056132784949"	"5.24302974897499"	"5.26385185698939"	"5.20802444980703"	"5.04388282235823"
"AC084782.1"	"2.1720467728559"	"2.39792725076265"	"2.23998643274641"	"2.26564627882654"	"2.23106725807122"	"2.31100239511137"
"AC084816.1"	"2.73532409020367"	"2.90781331719144"	"2.58228954048994"	"2.87280020115013"	"2.59980643161003"	"2.73718482663924"
"AC084824.4"	"3.48771833390142"	"4.02071409939036"	"3.20350410847998"	"3.18291575419533"	"3.86686135727648"	"3.59353367064784"
"AC084824.5"	"8.56804686859764"	"8.69303343329018"	"8.60254021001349"	"7.93720096719581"	"8.97907394692234"	"8.84892398784931"
"AC084866.1"	"2.23113011493534"	"2.143674597358"	"2.21189326824723"	"2.17790981467951"	"2.22702107929373"	"2.19102628503019"
"AC084876.1"	"6.51830433096491"	"6.59116472155364"	"6.68860220459887"	"6.49620197958196"	"6.70754579138295"	"6.5864888642245"
"AC084876.2"	"2.39654334303114"	"2.41698104688241"	"2.43684680358996"	"2.42726440469183"	"2.39571633089124"	"2.44254658423295"
"AC087071.1"	"5.03136010460909"	"5.66060482246935"	"5.26192127742156"	"5.29349809675913"	"5.415240908261"	"5.20798766800151"
"AC087164.1"	"3.82008937479427"	"3.76489928089339"	"3.77087340184822"	"3.66428236310924"	"3.89109601537835"	"3.80318251639269"
"AC087164.2"	"6.04041371310269"	"6.16927739816968"	"6.22256711637349"	"6.23077238888398"	"6.04849855918095"	"6.15009405218721"
"AC087190.3"	"5.92749605268499"	"5.91199284169637"	"5.83573036655237"	"5.67696295964612"	"5.98087999836208"	"6.00020974824701"
"AC087235.1"	"2.43986784889417"	"2.72575686262525"	"2.28089725577402"	"2.41570263454042"	"2.55926552289706"	"2.44748143897682"
"AC087276.2"	"6.09376839576069"	"6.44856635398659"	"6.38857801009592"	"6.24576149693723"	"6.38884516297549"	"6.26781580366865"
"AC087284.1"	"4.99913817733228"	"4.81707264306684"	"4.76224796138955"	"4.73809827959917"	"4.94225164315088"	"4.9168982066991"
"AC087289.2"	"3.48283175059593"	"3.2809078687653"	"3.17775735405982"	"3.23687670663304"	"3.38426295938411"	"3.31024205891506"
"AC087292.1"	"7.4694082473774"	"7.60566478043549"	"7.57269102840656"	"7.68187294162374"	"7.59440873156472"	"7.3542540767271"
"AC087392.2"	"3.79354352207426"	"3.86437916375344"	"3.75746041313388"	"3.76446424338882"	"3.92599646502303"	"3.73464136417827"
"AC087392.3"	"3.09367117032941"	"3.29002386315548"	"3.18493117767545"	"3.26254542232093"	"2.97625504968937"	"3.31878945531233"
"AC087393.2"	"7.96391466849579"	"7.96319468129568"	"7.94445795491065"	"7.93523096822768"	"8.05054174109407"	"7.89036833932702"
"AC087457.1"	"4.27325518273948"	"4.25671556871322"	"4.28994553996034"	"4.35408486499111"	"4.13240358848663"	"4.3352509835065"
"AC087477.2"	"2.7384220795963"	"2.74688970070657"	"2.67182140218826"	"2.72511800656364"	"2.70884055855725"	"2.74416422436854"
"AC087482.1"	"3.25211444878729"	"3.60579153530087"	"3.34207492112926"	"3.22592899761193"	"3.53087700968856"	"3.4258085299065"
"AC087500.1"	"4.78668104728944"	"4.57953505137181"	"4.48224506662165"	"4.59583332792408"	"4.56701338019773"	"4.67560239873718"
"AC087501.1"	"2.37892009179308"	"2.53658041632069"	"2.53736995219902"	"2.48703833117434"	"2.31181168862102"	"2.64125863803659"
"AC087516.1"	"2.10244845919156"	"1.99517135422164"	"1.97047865972524"	"2.12613220150718"	"2.03984669280368"	"1.89269384654112"
