"ID_REF"	"GSM710979"	"GSM711481"	"GSM711685"	"GSM711687"	"GSM1209565"	"GSM1209567"	"GSM1209571"
"AC004803.1"	"4.76229163478698"	"4.70185408187623"	"4.8073177281274"	"4.64005888567069"	"4.76693727278871"	"4.70158655707061"	"4.73604248948512"
"AC004812.2"	"5.65266784450418"	"5.42138591538989"	"5.54937186839247"	"5.74236425402136"	"5.43545532506536"	"5.61305254605514"	"5.71659628457583"
"AC004816.1"	"4.90346685852638"	"4.87416373461326"	"4.76972889697227"	"4.56880638188285"	"4.59033509027392"	"4.82170011053542"	"4.98602965330387"
"AC004817.1"	"3.83262247233531"	"3.9463378842865"	"3.83346668113707"	"3.81001271603828"	"3.85031702632702"	"3.77823232830795"	"3.96706568767294"
"AC004817.2"	"5.25872184344581"	"5.25460968392485"	"5.46984828853987"	"5.54779008329442"	"5.29470617892421"	"5.2545506965704"	"5.62284616221826"
"AC004825.2"	"6.60243822865807"	"7.05501858466194"	"6.32049553844804"	"6.03695055938329"	"6.35891300562183"	"6.51988434370699"	"6.39704218873468"
"AC004830.2"	"3.94951724572669"	"3.8251200956915"	"3.72179214083017"	"3.89848711455516"	"3.69745043890161"	"4.00695555178145"	"3.84183538664698"
"AC004832.1"	"4.61017154864083"	"4.83367573091747"	"4.59827871792301"	"4.70253423335161"	"4.62552281717495"	"4.76318914248768"	"4.70565928168732"
"AC004835.1"	"6.89401537039398"	"6.95767313273566"	"7.19006167386702"	"6.86233377801526"	"6.96871359218871"	"6.86255085491063"	"7.09692682365188"
"AC004836.1"	"3.82811263911452"	"3.79448629483628"	"3.80191649026008"	"3.87963638642042"	"3.90148069154482"	"3.78671018802006"	"3.847995305915"
"AC004839.2"	"4.88987443000879"	"5.00802489878382"	"5.11921556517646"	"5.12651288841973"	"5.00876441482051"	"4.96299440762694"	"5.17323479674215"
"AC004846.1"	"4.88380559124895"	"4.79678999016377"	"4.75766272512169"	"5.0223742380716"	"4.82079138212752"	"4.85593532450507"	"4.93328318119658"
"AC004846.2"	"5.45949741914931"	"5.39159150915125"	"5.91545425556045"	"5.84765286311774"	"5.52576470148707"	"5.55124659456721"	"5.85413956201988"
"AC004847.1"	"5.12938525652392"	"4.80604874960301"	"4.70430104070521"	"4.05814210996799"	"5.0164077138647"	"4.72346086513701"	"4.20814408823943"
"AC004852.2"	"3.64724073293356"	"3.59990853538505"	"3.70713767544359"	"3.83089969517558"	"3.73360798242054"	"3.75605238391816"	"3.63999118592622"
