"ID_REF"	"GSM980737"	"GSM980741"	"GSM980745"	"GSM980749"	"GSM1209558"	"GSM1209559"	"GSM1209560"
"AC004009.3"	"3.30216584884218"	"2.99537204004481"	"3.17289395855686"	"2.90607400854704"	"3.16790161693424"	"3.09991841222383"	"2.98490271902496"
"AC004023.1"	"3.23967919108087"	"3.11396872325265"	"3.15858077556624"	"3.23360029392561"	"3.15481589835849"	"3.10146044267845"	"3.31277926701403"
"AC004039.1"	"3.641773894814"	"3.59956379298197"	"3.5574608840723"	"3.66682479450495"	"3.78152477113377"	"3.51928778209648"	"3.54568143933449"
"AC004069.1"	"8.05648227216907"	"7.86098065129271"	"7.93245124452474"	"8.30767404744673"	"8.26751189537072"	"8.01606894139886"	"7.74917680162422"
"AC004076.2"	"3.84420838124396"	"3.84102655967437"	"3.73935406564414"	"3.72106873971362"	"3.85929989734679"	"3.73418041641813"	"3.80241351612519"
"AC004080.1"	"5.52409688478104"	"5.17384300654638"	"5.54421542431292"	"5.5060639908279"	"5.40860414223643"	"5.56935097155871"	"5.33506268241326"
"AC004080.2"	"5.68600014101844"	"5.43979116971292"	"5.72456665905369"	"5.25506090048911"	"5.5462361925655"	"5.62169443913251"	"5.37152714904628"
"AC004080.6"	"5.81567077066491"	"5.52421071544131"	"5.56372754886848"	"5.64323784425735"	"5.71550835866134"	"5.64464565603149"	"5.54253877896039"
"AC004130.2"	"4.7244286218787"	"4.76824035610376"	"4.66436538008367"	"4.70517084092779"	"4.65234329347495"	"4.78054069731303"	"4.75645467097452"
"AC004148.1"	"4.79745913158743"	"4.71798367069901"	"4.71014282867876"	"4.94531164257767"	"5.00141384732361"	"4.75882637716425"	"4.59910640754862"
"AC004156.1"	"4.63827995425762"	"4.81145226004815"	"4.56329107494177"	"4.66501385429582"	"4.68681805118893"	"4.69702657992169"	"4.66175203887152"
"AC004158.1"	"3.03671974222126"	"2.88928293894849"	"2.86736542581932"	"2.87330797997332"	"2.67457352146046"	"3.06228388006931"	"2.97898659972215"
"AC004160.1"	"3.43334945693869"	"3.42831249535966"	"3.25367104182981"	"3.25207653083375"	"3.22392176957013"	"3.37587942031252"	"3.43451846267473"
