"ID_REF"	"GSM1431110"	"GSM1431111"	"GSM1431112"	"GSM1431113"	"GSM1431114"	"GSM1431115"
"LINC02363"	3.38619372911838	3.15514680159684	3.22379880704905	3.13967280756694	3.24374246419922	3.38943181915281
"LINC02366"	3.55254449117409	3.21305764372963	3.63631497944897	3.53551395771466	3.38919137196048	3.30701364718815
"LINC02367"	4.01521332669374	3.60670537054185	3.76369015432239	4.27809522110917	4.05201249635885	3.73459414718842
"LINC02372"	3.20352794777453	3.30677694762565	3.23176772552883	3.17262493240997	3.23009182311211	3.21423266889165
"LINC02375"	3.10400101321253	2.94923780138629	3.05218183238696	3.26061934509436	3.08674603194377	3.01408203353811
"LINC02380"	3.34316080228966	3.30564417781409	3.59066533798008	3.5679247183399	3.5260751998779	3.60565017590131
"LINC02381"	7.74198773262871	6.00286495810556	5.51449298502513	8.89014321515303	8.71735902207128	7.06946523106466
"LINC02382"	3.20229059567824	3.45441394373432	3.31387991009016	3.36614548948151	3.36910402039554	3.36091685891329
"LINC02387"	3.76927058764236	3.67117173741874	3.70086730975714	4.02508868899588	3.56300773882527	3.79564975681729
"LINC02388"	3.25142986430303	3.45332605548399	3.1608748293566	3.51811874861305	3.38749459636047	3.67330425370875
"LINC02395"	3.23197465882117	2.87323767878048	3.00817383327016	2.91117449977062	3.12433122973343	2.91671335378466
"LINC02397"	3.38870761658635	3.79193764416882	3.43920052368933	3.57898628192222	3.4744123468758	3.25340373139394
"LINC02400"	3.56781277402005	3.2244004163231	3.29538457920115	3.49475230636416	3.50620528999286	3.24854658534278
"LINC02401"	4.26009273700185	4.21343515110927	4.29529664434773	3.98598345459135	4.1221380188929	3.79015362414277
"LINC02402"	3.39033514549296	3.42053815570155	3.26150712558352	3.39947135685227	3.37602504013538	3.47393933182106
"LINC02405"	2.96343942969806	3.15852612842437	3.39788970357164	3.35334295036661	3.54995210863166	3.45844381818153
"LINC02419"	3.3995423109628	2.94071370706867	3.19739241340463	3.18542746166195	3.30626579532716	3.36486823145398
"LINC02421"	3.34469585924584	3.11788104552192	3.34342034232256	3.11798060982919	3.31706167878468	3.0993646845607
"LINC02424"	2.87403275375071	2.88653168026936	3.04459902294413	2.8598524540342	2.88357474961206	2.95527631982035
"LINC02426"	2.93921758843286	3.17479360966567	2.97392395775702	3.0810550848559	3.06694356658056	3.4275852852516
"LINC02431"	4.25367472543124	4.00257407311907	3.81873885088502	4.06367258161103	3.70757754599453	4.75405094119028
"LINC02433"	3.06952554107503	2.90775320902992	2.87973507576879	2.79944020430225	2.88211878802553	2.84223569369217
