"ID_REF"	"GSM687236"	"GSM687237"	"GSM687238"	"GSM687239"	"GSM687240"	"GSM687241"	"GSM687242"	"GSM687243"	"GSM198943"	"GSM198944"	"GSM198945"
"AL161747.2"	"6.00459788667101"	"6.34209946223744"	"6.31703702112948"	"6.13686889639312"	"6.64944167942437"	"6.73847194577105"	"6.46073433769105"	"6.55356224243124"	"6.56472429355092"	"6.33917523659719"	"6.34145925972892"
"AL161756.1"	"3.65574780536217"	"3.73854058469464"	"3.81689454114793"	"3.55455055579321"	"3.91951743547067"	"3.67874236626274"	"3.52659866596014"	"3.65956523500113"	"3.72517468321976"	"3.76502541930421"	"3.5603593602464"
"AL161757.2"	"7.89995518497401"	"7.64614306228606"	"7.95368578418041"	"8.00865335632392"	"7.55978878750114"	"7.4529531715176"	"7.56208658841039"	"7.37808001810917"	"7.74030619650715"	"7.92619232803422"	"7.55563195559758"
"AL161757.5"	"7.57407517207548"	"7.48268639900051"	"7.54648731710484"	"7.34508479051752"	"7.59353382359343"	"7.18980546584335"	"7.46197408788537"	"7.49690715110684"	"7.22012943587845"	"7.76557873320845"	"7.43918106584664"
"AL161772.1"	"4.52658175317948"	"5.06509796387146"	"5.08222273475348"	"4.77692710225973"	"4.80109265631194"	"4.77978328253162"	"4.90998541841312"	"4.77125499915708"	"4.4798540112485"	"4.72059596894284"	"5.61832284366567"
"AL161896.1"	"3.32593700977501"	"3.49213253303787"	"3.67544799567602"	"3.47193435800732"	"3.50252070665989"	"3.64355695394454"	"3.4809109654758"	"3.70735516504626"	"3.65852800002763"	"3.4921816631801"	"3.45947708114164"
"AL161901.1"	"3.72241722538239"	"3.58104447126074"	"3.77534372370114"	"3.87001112036639"	"4.12311418803094"	"4.01764363183306"	"4.12616840286313"	"3.78944980994416"	"3.88674517713436"	"3.79144145726884"	"3.93488662506568"
"AL161908.2"	"4.58211893889052"	"4.59286173871859"	"4.68523400540048"	"4.41701045674471"	"4.47856035023964"	"4.74254140572759"	"4.57191284288588"	"4.62292201369509"	"4.49002011766662"	"4.49491877083561"	"4.6804872571247"
"AL161910.1"	"4.41741144903801"	"4.43736964926716"	"4.27044332830746"	"4.60204239528269"	"4.21637431526726"	"4.49786451785033"	"4.34385513211494"	"4.43631966973526"	"4.42336240150996"	"4.42336240150996"	"4.25873150161551"
"AL161912.2"	"3.49964212468179"	"3.48813076040212"	"3.71843955578297"	"3.65637736012342"	"3.74721461116517"	"3.43219332614596"	"3.91769854619165"	"3.62983034579899"	"3.72057014053081"	"3.60551988191917"	"3.62103429806393"
"AL162171.3"	"4.49420888061008"	"4.59354293924965"	"4.84302592732494"	"4.68689696178298"	"4.77599566892875"	"4.90687230128447"	"4.98430484290434"	"4.67939036557434"	"4.77626336251005"	"4.59356881014664"	"4.79723670410968"
"AL162231.2"	"4.61534796442621"	"4.58009127794304"	"4.24025012122786"	"4.49200650619018"	"5.1000731206862"	"4.99442366379778"	"5.72109939476937"	"4.65933784810383"	"4.93056786200657"	"5.04747171971278"	"4.59645748530107"
"AL162231.4"	"4.41023725198833"	"4.95148861711206"	"4.45095313216088"	"4.42008931353353"	"4.3449643244246"	"4.30928438530929"	"4.39185373053089"	"4.28412596106178"	"4.43386775200932"	"4.68681118897131"	"4.27338004173196"
"AL162258.1"	"6.96184783250044"	"6.93758637214518"	"6.8286099749812"	"7.07193307496443"	"6.42435752049758"	"7.16655158704394"	"6.2617637317093"	"6.96157688093277"	"7.29726980088329"	"6.70276236029313"	"6.53024631425573"
"AL162258.2"	"4.77966096320881"	"5.07745035421904"	"4.88827466650141"	"4.98969656347307"	"4.63686256707731"	"4.93492576253871"	"4.61355663909082"	"4.84638282183557"	"4.77447398745011"	"4.85485881522238"	"4.92633635978102"
"AL162274.2"	"5.34359484046164"	"5.0378974558114"	"4.85749677293977"	"5.08533279594445"	"4.93723543507388"	"4.96782670416219"	"5.10301990472347"	"4.4084540038416"	"4.8881898644282"	"4.97558166288202"	"5.11786554164409"
"AL162311.3"	"9.77626359107916"	"9.6322004736171"	"9.58028562254396"	"9.58637081476453"	"10.1323796085446"	"10.0942125988577"	"9.91083482123365"	"10.0374364604263"	"9.28062102311741"	"10.1017106150894"	"10.2321921064551"
"AL162377.1"	"5.27871978835612"	"5.22959849788905"	"5.36672854963695"	"5.25286965664654"	"5.00812327114318"	"5.1743904159756"	"5.32514103662518"	"5.05802946258172"	"5.19814219244206"	"5.3172379741925"	"5.03848506561772"
"AL162384.1"	"4.20914935968766"	"4.28672102753653"	"4.56377032518545"	"4.44100082784561"	"4.2265095267377"	"3.79948694481332"	"4.42907802975652"	"3.95892068100955"	"4.33296648724425"	"4.37844082048159"	"4.09375647525481"
"AL162390.1"	"5.38333884962606"	"5.46312275839065"	"5.33091402922806"	"5.83575765097875"	"5.04721723033609"	"4.85467740615081"	"4.69819293727618"	"5.02007479725226"	"5.59597864559329"	"5.21832628346503"	"5.15575317653825"
"AL162391.2"	"4.22405233699624"	"4.00798524229575"	"4.34290682201897"	"4.02137757235028"	"4.27610408789033"	"4.32059380062541"	"4.1016928403568"	"4.09505279240451"	"4.20376862644078"	"4.2884697129572"	"3.99858703300318"
"AL162412.1"	"4.90401898436184"	"4.66700067206719"	"5.05544470169172"	"4.54856838301564"	"4.56361004411137"	"4.28428364293841"	"4.55415173056502"	"4.77038737321968"	"4.62504016871424"	"4.71527060664508"	"4.67323984311101"
"AL162425.1"	"3.99432264680412"	"4.13116814637119"	"3.65552393046534"	"4.16133833220554"	"3.71208902819407"	"3.7096468427866"	"4.04211023124954"	"3.7221076006925"	"4.05781072536869"	"3.73754942955028"	"3.92556521965047"
