"Sample","MHC","CYT"
"TCGA-GC-A6I3-01A",7.38913293449126,3.38607373499049
"TCGA-XF-AAMJ-01A",5.78733762207565,1.75451221528723
"TCGA-GC-A6I1-01A",7.89116620713406,4.8874906484199
"TCGA-ZF-A9RL-01A",5.02485474397828,0.276481588674375
"TCGA-DK-A3IL-01A",3.97564914119789,0.571083665803354
"TCGA-E7-A6MF-01A",5.01142348590682,0.984003951578922
"TCGA-BT-A20R-01A",5.56593730962774,1.83320853555625
"TCGA-H4-A2HQ-01A",6.14464637860648,0.804551589571406
"TCGA-GV-A3QH-01A",6.13444051393239,0.363435018697604
"TCGA-4Z-AA82-01A",6.34485768377148,1.5883248363259
"TCGA-E7-A4XJ-01A",4.22381548370389,0.311885295603466
"TCGA-XF-A8HE-01A",6.9354823346145,3.32045686305984
